date,sales
2019-06-06,10138.0
2019-06-07,21922.0
2019-06-09,7830.0
2019-06-10,14492.0
2019-06-11,13611.0
2019-06-12,20563.2
2019-06-13,13388.0
2019-06-14,17297.4
2019-06-16,6143.0
2019-06-17,25463.05
2019-06-18,21183.0
2019-06-19,14338.0
2019-06-20,12681.0
2019-06-21,15913.0
2019-06-23,7293.0
2019-06-24,26077.458
2019-06-25,19202.916
2019-06-26,16126.0
2019-06-27,13638.8
2019-06-28,21493.6
2019-06-30,7627.0
2019-07-01,30334.5
2019-07-02,22797.0
2019-07-03,9184.0
2019-07-04,18423.0
2019-07-05,17262.0
2019-07-07,7316.0
2019-07-08,31182.0
2019-07-09,20400.0
2019-07-10,12550.0
2019-07-11,11038.048
2019-07-12,18533.0
2019-07-14,7645.0
2019-07-15,34849.748
2019-07-16,15019.0
2019-07-17,11489.0
2019-07-18,12256.0
2019-07-19,18997.0
2019-07-21,6917.0
2019-07-22,28009.0
2019-07-23,11553.522
2019-07-24,10503.104
2019-07-25,6363.0
2019-07-26,15522.0
2019-07-28,15.0
2019-07-29,7254.0
2019-07-30,7870.0
2019-07-31,41497.5
2019-08-01,8780.0
2019-08-02,11958.0
2019-08-03,90.0
2019-08-04,7109.0
2019-08-05,16219.0
2019-08-06,16705.0
2019-08-07,9518.0
2019-08-08,6796.0
2019-08-09,9588.0
2019-08-11,7743.0
2019-08-12,18033.0
2019-08-13,9309.0
2019-08-14,6287.29
2019-08-15,1775.94
2019-08-16,11318.0
2019-08-18,5689.0
2019-08-19,17440.092
2019-08-20,10541.402
2019-08-21,13911.984
2019-08-22,6929.0
2019-08-23,10398.0
2019-08-25,7608.0
2019-08-26,19149.0
2019-08-27,11001.0
2019-08-28,10978.0
2019-08-29,13978.0
2019-08-30,18483.0
2019-09-01,7562.0
2019-09-02,28853.0
2019-09-03,16168.65
2019-09-04,10153.3
2019-09-05,12769.0
2019-09-06,17208.0
2019-09-08,9920.0
2019-09-09,29108.05
2019-09-10,18280.0
2019-09-11,14033.052
2019-09-12,14593.104
2019-09-13,11576.0
2019-09-15,8242.1
2019-09-16,32979.402
2019-09-17,16883.65
2019-09-18,8682.0
2019-09-19,11497.0
2019-09-20,16901.56
2019-09-22,5304.0
2019-09-23,20951.0
2019-09-24,16899.3
2019-09-25,6474.0
2019-09-26,15681.0
2019-09-27,14494.0
2019-09-29,8558.0
2019-09-30,28874.0
2019-10-01,15026.0
2019-10-02,17036.0
2019-10-03,10502.2
2019-10-04,21655.0
2019-10-06,14368.0
2019-10-07,24283.4
2019-10-08,13333.0
2019-10-09,8078.0
2019-10-10,5490.0
2019-10-11,15485.9
2019-10-13,10353.0
2019-10-14,27685.18
2019-10-15,17807.0
2019-10-16,9640.0
2019-10-17,12071.0
2019-10-18,13838.0
2019-10-20,7595.0
2019-10-21,20681.0
2019-10-22,16848.0
2019-10-23,10013.0
2019-10-24,6885.176
2019-10-25,12401.0
2019-10-27,18947.0
2019-10-28,23394.0
2019-10-29,20014.0
2019-10-30,9009.9
